natco_handle,title,variant_weight,natco_type,natco_subcategory,our_subcategory,in_our_catalog,our_product_id,match_status
alubia-beans,Alubia Beans 2kg,2kg,Beans,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
alubia-beans1,Alubia Beans 500g,500g,Beans,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
bhel-puri-kit-500g,Bhel Puri Kit 500g,500g,Daria Lentil Snack,namkeen-lentil-snacks,namkeen-lentil-snacks,UNKNOWN,,NEEDS_REVIEW
black-eye-beans,Black Eye Beans 2kg,2kg,Beans,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
black-eye-beans1,Black Eye Beans 500g,500g,Beans,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
black-eyed-beans-400g,Black Eyed Beans 400g,400g,"Tinned Lentils, Beans",tinned-lentils-beans,tinned-lentils-beans,UNKNOWN,,NEEDS_REVIEW
brown-chick-peas,Brown Chick Peas 2kg,2kg,Lentils,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
brown-chick-peas1,Brown Chick Peas 500g,500g,Lentils,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
brown-lentils,Brown Lentils 2kg,2kg,Lentils,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
brown-lentils1,Brown Lentils 500g,500g,Lentils,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
butter-beans,Butter Beans 2kg,2kg,Beans,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
butter-beans1,Butter Beans 500g,500g,Beans,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
chanadal,Chanadal Polished 1kg,1kg,Lentils,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
