"natco_handle","title","variant_weight","natco_type","natco_subcategory","tags","in_catalog","match_status"
"black-eyed-beans-400g","Black Eyed Beans 400g","400","Tinned Lentils, Beans","tinned-lentils-beans","black eyed pea;cowpea;gram","NO","NEW"
"chickpeas-tinned","Chick Peas 400g","400","Tinned Lentils, Beans","tinned-lentils-beans","bengal gram;garbanzo;gram;whole chana;whole channa","NO","NEW"
"chickpeas-tinned-large","Chick Peas 2.5kg","2500","Tinned Lentils, Beans","tinned-lentils-beans","bengal gram;garbanzo;gram;whole chana;whole channa","NO","NEW"
"kala-chana-boiled","Kala Chana Boiled 400g","400","Tinned Lentils, Beans","tinned-lentils-beans","bengal gram;black chickpeas;chana;channa;gram;special offer","NO","NEW"
"coconutmilk","Coconut Milk 400ml","400","Tinned Coconut","tinned-coconut","coconut;Dal Recipe;naariyal;nariyal","NO","NEW"
"coconutcream","Coconut Cream 400ml","400","Tinned Coconut","tinned-coconut","coconut;naariyal;nariyal;summer","NO","NEW"
"coconut-milk-light","Coconut Milk Light 400ml","400","Tinned Coconut","tinned-coconut","coconut;naariyal;nariyal","NO","NEW"
"karela","Karela 400g","400","Tinned Vegetables","tinned-vegetables","bitter gourd;bitter melon;gourd;karella;kerela;kerella;vegetable","NO","NEW"
"lotusroot","Lotus Root 400g","400","Tinned Vegetables","tinned-vegetables","Kamal KakadiÃŒÃŽÃŒ__;vegetable","NO","NEW"
"mango-pulp-alphonso","Mango Pulp Alphonso 450g","450","Tinned Fruit","tinned-fruit","aam;amchoor;best;Mango;special offer","NO","NEW"
"mango-pulp-kesar","Mango Pulp Kesar 850g","850","Tinned Fruit","tinned-fruit","aam;amchoor;Mango","NO","NEW"
"mango-slices-alphonso","Mango Slices Alphonso 425g","425","Tinned Fruit","tinned-fruit","aam;amchoor;Mango;summer","NO","NEW"
"okra","Okra 400g","400","Tinned Vegetables","tinned-vegetables","drumstick;ladies finger;vegetable","NO","NEW"
"patra","Patra 400g","400","Tinned Vegetables","tinned-vegetables","paatra;vegetable","NO","NEW"
"punjabitinda","Punjabi Tinda 400g","400","Tinned Vegetables","tinned-vegetables","beans;dals;lentils;peas;pulses;special offer","NO","NEW"
"red-kidney-tinned","Red Kidney Beans 400g","400","Tinned Lentils, Beans","tinned-lentils-beans","rajma;razma;red rajma","NO","NEW"
"red-kidney-tinned-large","Red Kidney Beans 2.5kg","2500","Tinned Lentils, Beans","tinned-lentils-beans","rajma;razma;red rajma","NO","NEW"
"rose-coco-beans","Rose Coco (Borlotti) Beans 400g","400","Tinned Lentils, Beans","tinned-lentils-beans","borlotti;rosecoco","NO","NEW"
"sarson-ka-saag","Sarson Ka Saag 450g","450","Tinned Vegetables","tinned-vegetables","vegetable","NO","NEW"
"spinach-leaf-tinned","Spinach Leaf 396g","380","Tinned Vegetables","tinned-vegetables","vegetable","NO","NEW"
"spinach-puree-395g","Spinach Puree 395g","395","Tinned Vegetables","tinned-vegetables","vegetable","NO","NEW"
"spinach-puree-tinned","Spinach Puree 794g","795","Tinned Vegetables","tinned-vegetables","vegetable","NO","NEW"
"suranyam","Suran (Yam) 400g","400","Tinned Vegetables","tinned-vegetables","vegetable","NO","NEW"
"tomatopaste","Tomato Paste 800g","800","Tinned Vegetables","tinned-vegetables","vegetable","NO","NEW"
"tomatoeschopped","Tomatoes Chopped 400g","400","Tinned Vegetables","tinned-vegetables","Christmas;tin;tomato tin;vegetable;Xmas Cooking","NO","NEW"
"tomatoespeeled","Tomatoes Peeled 400g","400","Tinned Vegetables","tinned-vegetables","Christmas;tin;tomato tin;vegetable;Xmas Cooking","NO","NEW"
"toovar","Toovar 400g","400","Tinned Lentils, Beans","tinned-lentils-beans","Arhar Dal;beans;dals;lentils;peas;pigeon pea;pulses;Toovar Dal;tuver","NO","NEW"
"white-kidney-tinned","White Kidney Beans 400g","400","Tinned Lentils, Beans","tinned-lentils-beans","beans;white kidney","NO","NEW"
